FID,dissolve,scalerank,featurecla,name,name_alt,rivernum,note
1165,814River,8,River,Lua, ,814, 
551,37River,2,River,Lualaba, ,37, 
665,43River,2,River,Lualaba (Congo), ,43, 
1271,908River,8,River,Luan, ,908, 
1063,729River,8,River,Luangwa, ,729, 
1334,965River,8,River,Luapula, ,965, 
1169,818River,8,River,Lucala, ,818, 
946,665River,8,River,Lufira, ,665, 
1315,948River,8,River,Luhit, ,948, 
1327,959River,8,River,Luirojoki, ,959, 
1121,778River,8,River,Lukenie, ,778, 
984,682River,8,River,Lukuga, ,682, 
867,618River,7,River,Lule lv, ,618, 
1062,728River,8,River,Lungwebungu, ,728, 
1029,702River,8,River,Luvua, ,702, 
678,451River,7,River,Luwegu, ,451, 
1220,864River,8,River,Luza, ,864, 
1340,970River,8,River,Maas,Meuse,970,Changed in 2.0
114,1090River,9,River,Macintyre, ,1090, 
1129,785River,8,River,Mackenzie, ,785, 
968,675River,8,River,Macquarie, ,675, 
1284,91River,3,River,Madeira, ,91, 
1148,7River,1,River,Madison, ,7, 
444,291River,6,River,Madre de Dios, ,291, 
561,386River,7,River,Mae Klong, ,386, 
199,126River,4,River,Magdalena, ,126, 
415,271River,6,River,Mah?na Nad?, ,271, 
784,544River,7,River,Mahakam, ,544, 
964,673River,8,River,Mahaweli, ,673, 
789,549River,7,River,Mahi, ,549, 
1091,751River,8,River,Maicuru, ,751, 
1056,721River,8,River,Main, ,721, 
1335,966River,8,River,Malagarasi, ,966, 
886,633River,7,River,Malaya Ob, ,633, 
219,144River,4,River,Malyy Yenisey, ,144, 
716,485River,7,River,Mamas, ,485, 
506,342River,6,River,Mamberamo, ,342, 
1237,87River,3,River,Mamor?, ,87, 
1087,748River,8,River,Mana, ,748, 
451,298River,6,River,Mananantanana, ,298, 
1406,2014River,6,River,Manawatu, ,2014, 
1443,2015River,10,River,Manganui, ,2015, 
501,339River,6,River,Mangoky, ,339, 
738,503River,7,River,Mania, ,503, 
613,410River,7,River,Manicouagan, ,410, 
10,1005River,9,River,Maningory, ,1005, 
1294,929River,8,River,Maputo, ,929, 
479,31River,2,River,Maquan (Damqogkanbab), ,31, 
282,183River,5,River,Mara??n, ,183, 
1099,759River,8,River,Marais des Cygnes, ,759, 
677,450River,7,River,Marico, ,450, 
742,507River,7,River,Mariga, ,507, 
135,1109River,9,River,Markha, ,1109, 
87,1069River,9,River,Marne, ,1069, 
834,590River,7,River,Maroni, ,590, 
120,1097River,9,River,Masi, ,1097, 
1399,350River,6,River,Mataura, ,350,linework edited 20121205
814,570River,7,River,Mattagami, ,570, 
1202,848River,8,River,Maya, ,848, 
713,482River,7,River,Mazoe, ,482, 
672,446River,7,River,Mbam, ,446, 
833,589River,7,River,Mbini, ,589, 
16,1009River,9,River,Meade, ,1009, 
1010,694River,8,River,Mearim, ,694, 
108,1086River,9,River,Mei, ,1086, 
698,46River,2,River,Mekong, ,46, 
437,286River,6,River,Mendoza, ,286, 
1138,792River,8,River,Merrimack, ,792, 
443,290River,6,River,Meta, ,290, 
1389,724River,8,River,Meuse, ,724, 
696,468River,7,River,Mezen, ,468, 
1157,808River,8,River,Mico, ,808, 
702,473River,7,River,Min, ,473, 
841,597River,7,River,Mincio, ,597, 
167,1134River,9,River,Minho, ,1134, 
