id,authors_long,author
611,"archer, eric",e. archer
611,"ray, andrew m.",a. ray
611,"roper, brett b.",b. roper
612,"henry, philippe",p. henry
612,"lamb, clayton t.",c. lamb
612,"lemay, matthew a.",m. lemay
612,"robson, kelsey m.",k. robson
612,"russello, michael a.",m. russello
613,"cameron, ian r.",i. cameron
613,"cleary, michelle r.",m. cleary
613,"vyse, alan",a. vyse
614,"al-chokhachy, robert",r. al-chokhachy
614,"isaak, daniel j.",d. isaak
614,"kershner, jeffrey l.",j. kershner
614,"wenger, seth j.",s. wenger
615,"brinkman, stephen f.",s. brinkman
615,"crockett, harry j.",h. crockett
615,"rogers, kevin b.",k. rogers
616,"bolton, susan m.",s. bolton
616,"gara, robert i.",r. gara
616,"kubo, joshua s.",j. kubo
616,"torgersen, christian e.",c. torgersen
616,"weekes, anne a.",a. weekes
621,"barrenetxea, guillermo",g. barrenetxea
621,"nicotina, ludovico",l. nicotina
621,"parlange, marc",m. parlange
621,"rinaldo, andrea",a. rinaldo
621,"schaefli, bettina",b. schaefli
621,"simoni, silvia",s. simoni
621,"smith, russell",r. smith
621,"tobin, cara",c. tobin
625,"chang, h.",h. chang
625,"gannett, m. w.",m. gannett
625,"hulbe, c. l.",c. hulbe
625,"waibel, m. s.",m. waibel
629,"maguire, douglas a.",d. maguire
629,"oliver, william w.",w. oliver
629,"ritchie, martin w.",m. ritchie
629,"zhang, jianwei",j. zhang
632,"cushman, samuel a.",s. cushman
632,"landguth, erin l.",e. landguth
632,"littell, jeremy s.",j. littell
632,"shirk, andrew j.",a. shirk
632,"wasserman, tzeidle n.",t. wasserman
